measurement_id;destination;common_hops_num;FranceIX_hops_num;LISP-Lab_hops_num;FranceIX_country_path;LISP-Lab_country_path;Country;Continent
6963888;104.18.56.71;1;3;4;['FR', 'NL', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6964368;141.0.173.22;1;4;5;['FR', 'FR', None, 'NL'];['FR', 'FR', 'DE', 'GB', 'NL'];NL;EU
6963604;108.160.172.206;1;3;6;['FR', 'FR', 'IE'];['FR', 'FR', 'DE', 'FR', 'DE', 'IE'];US;NA
6964380;104.197.47.161;1;1;4;['US'];['FR', 'FR', 'IT', 'US'];US;NA
6963936;72.21.202.239;1;4;5;['FR', 'FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963710;210.210.18.53;1;2;4;['FR', 'US'];['FR', 'FR', 'FR', 'US'];IN;AS
6963480;98.139.183.24;2;2;4;['US', 'US'];['FR', 'FR', 'US', 'US'];US;NA
6963730;108.174.10.19;1;3;5;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963831;69.172.201.47;1;3;5;['FR', 'FR', None];['FR', 'FR', 'DE', 'GB', None];US;NA
6964001;101.201.172.229;3;5;7;['FR', 'US', 'CN', 'CN', 'CN'];['FR', 'FR', 'DE', 'GB', 'CN', 'CN', 'CN'];CN;AS
6963626;163.53.78.58;3;4;7;['FR', None, 'IN', 'IN'];['FR', 'FR', 'DE', 'GB', None, 'IN', 'IN'];IN;AS
6964424;216.146.46.10;1;3;5;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963867;130.211.186.109;1;2;4;['FR', 'US'];['FR', 'FR', 'IT', 'US'];US;NA
6964239;120.134.33.10;0;7;8;['FR', 'FR', 'US', 'CN', 'CN', 'CN', 'CN'];['FR', 'FR', 'DE', 'GB', 'CN', 'CN', 'CN', 'CN'];CN;AS
6963890;182.253.224.184;2;3;6;['FR', 'US', 'ID'];['FR', 'FR', 'DE', 'NL', 'US', 'ID'];ID;AS
6964489;23.3.152.175;1;4;5;['FR', 'FR', None, 'GB'];['FR', 'FR', 'DE', 'GB', None];NL;EU
6963869;91.198.174.192;2;3;5;['FR', 'NL', 'NL'];['FR', 'FR', 'FR', 'NL', 'NL'];NL;EU
6963574;184.173.147.39;2;4;4;['FR', 'FR', 'FR', 'US'];['FR', 'FR', 'FR', 'US'];US;NA
6964493;72.163.4.161;2;4;5;['FR', None, 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964015;104.16.50.136;1;3;4;['FR', 'NL', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
